ministry_or_category,scheme_name,scheme_url
State Level (Haryana),Haryana State Start-ups Scheme,https://startupharyana.gov.in/
State Level (Haryana),PADMA Scheme,https://msme.haryana.gov.in/padma-schemes/
State Level (Haryana),Mukhya Mantri Antyodaya Parivar Utthan Yojana (MMAPUY),https://haryanait.gov.in/mukhya-mantri-antyodaya-parivar-utthan-yojana-mmapuy/
State Level (Haryana),State Mini Cluster Development Scheme,https://haryanaindustries.gov.in
State Level (Haryana),Critical Infrastructure Development Scheme,https://haryanaindustries.gov.in
State Level (Haryana),Industrial Infrastructure Development Scheme,https://haryanaindustries.gov.in
State Level (Haryana),HUM Registration,https://haryana.gov.in
MSME & Finance,Pradhan Mantri Mudra Yojana (PMMY),https://www.mudra.org.in
MSME & Finance,CGTMSE (Credit Guarantee Fund Trust for MSEs),https://www.cgtmse.in
MSME & Finance,SIDBI SMILE Scheme,https://www.sidbi.in/smile
MSME & Finance,NSIC Credit Support Scheme,https://www.nsic.co.in
MSME & Finance,NSIC Raw Material Assistance Scheme,https://www.nsic.co.in/rmas
MSME & Finance,NSIC Marketing Support Scheme,https://www.nsic.co.in
MSME & Finance,Mahila Udyam Nidhi Scheme (SIDBI),https://www.sidbi.in
MSME & Finance,SIDBI Direct Credit Scheme,https://www.sidbi.in
MSME & Finance,Equipment Finance for MSMEs (SIDBI),https://www.sidbi.in
MSME & Finance,Working Capital Loan Scheme (SIDBI),https://www.sidbi.in
Compliance & Registration,Udyam Registration Portal,https://udyamregistration.gov.in
Compliance & Registration,GeM Onboarding for MSMEs,https://gem.gov.in
Compliance & Registration,BIS Certification Scheme,https://bis.gov.in
Compliance & Registration,FSSAI Licensing & Registration,https://foscos.fssai.gov.in
Compliance & Registration,DPIIT Recognition for Startups,https://www.startupindia.gov.in/content/sih/en/recognition.html
Export Promotion,MEIS (Merchandise Exports from India Scheme),https://dgft.gov.in
Export Promotion,SEIS (Service Exports from India Scheme),https://dgft.gov.in/seis
Export Promotion,Interest Equalization Scheme on Export Credit,https://rbi.org.in
Export Promotion,ECGC Export Credit Guarantee Schemes,https://www.ecgc.in
Export Promotion,Export Credit Insurance for Banks (ECIB),https://www.ecgc.in/ecib
Export Promotion,Transport & Marketing Assistance (TMA),https://apeda.gov.in/tma
Agriculture Processing,SAMPADA Scheme (Food Processing),https://mofpi.gov.in/sampada
Agriculture Processing,PM Kisan Sampada Yojana,https://pmksy.mofpi.gov.in
Agriculture Processing,Operation Greens,https://mofpi.gov.in/operation-greens
Agriculture Processing,Cold Chain Infrastructure Scheme,https://mofpi.gov.in/coldchain
Textiles,Textile Upgradation Fund Scheme (TUFS),https://tufs.nic.in
Textiles,SAMARTH Scheme for Textiles,https://samarth-textiles.gov.in
